full=12549 parties · H1=6275 · H2=6274

############ COMP_CLASH_RULES (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-17.6	32.08	49.67	53	-2.56	0.0645	-20.99	-8.73	true	Teamfight groupé > split isolé
-7	43.03	50.02	337	-2.57	0.0645	-8.09	-6.46	true	Enchanter disengage > engage brut
-6.29	43.55	49.84	969	-3.92	0.0018	-7.84	-5.03	true	Hypercarry protégé > engage/dive frontal
-6.28	43.62	49.9	1575	-4.98	0	-5.77	-6.76	true	Peel enchanter > dive sur carry immobile
-5.8	44	49.8	425	-2.39	0.0818	-6.92	-4.73	true	Poke + disengage > engage frontal
-5.79	44.38	50.17	498	-2.58	0.0645	-8	1.76	false	Double burst Mage > comp sans frontline
-4.67	45	49.67	60	-0.72	0.6132	-4.03	-7.7	true	Poke/disengage kite > engage frontal
-4.65	45.32	49.97	737	-2.52	0.0645	-5.14	-3.65	true	Wombo setup > comp sans disengage
-4.09	45.45	49.54	528	-1.88	0.1466	-12.04	-1.37	true	ADC long range + disengage > all-in bot
-3.95	45.78	49.73	83	-0.72	0.6132	2.92	-14.43	false	Siege à distance > engage mélée
-3.94	45.88	49.83	340	-1.46	0.2697	-7.93	-1.52	true	Famille disengage > engage
-3.68	46.47	50.16	936	-2.26	0.0974	-7.93	-2.76	true	Front peel + enchanter > dive
-3.5	46.45	49.94	999	-2.21	0.0974	-6.49	-0.69	true	Kite range vs comp engage
-3.26	47.06	50.32	85	-0.6	0.6891	-14.22	1.29	false	Double enchanter peel > comp dive
-2.83	47	49.83	566	-1.35	0.2894	-2.97	-2.87	true	Engage Vanguard/Diver > backline sans peel
-2.78	47.01	49.79	2897	-2.99	0.036	-1.39	-3.66	true	Stealth > comp sans reveal
-2.4	47.49	49.89	2110	-2.2	0.0974	-2.3	-2.39	true	Poke kite vs comp dive
-2.3	48	50.3	125	-0.51	0.7144	-3	2.83	false	Double global punition scale
-1.62	48.25	49.87	3830	-2.01	0.1252	3.17	-4.27	false	Marksman DPS > double Tank sans burst
-1.38	48.65	50.03	4668	-1.89	0.1466	-1.58	-1.25	true	CC lockdown > comp mobile dive
-1.02	49.08	50.11	654	-0.53	0.7144	-0.16	-2.14	true	Range abuse vs frontline mélée
-1.01	48.99	50	2764	-1.06	0.4163	-1.62	-0.8	true	Anti-dash + front > comp dive
-0.49	50	50.49	40	-0.06	0.9967	20.31	-4.66	null	Zone choke > comp dive
-0.17	50	50.17	178	-0.05	0.9967	-0.61	0.62	false	Disengage casse le wombo
-0.02	50.12	50.13	429	0	0.9967	2.1	-4.13	false	Peel/disengage > wombo setup
-0.01	49.99	50	6049	-0.02	0.9967	-0.99	0.92	false	ADC + peel Enchanter > dive Slayer
0.16	50.06	49.91	771	0.08	0.9967	4.13	-1.59	false	Double split > comp groupée
0.33	50.51	50.18	5555	0.49	0.7144	0.68	0.11	true	Shred %PV > double frontline
1.25	51.39	50.14	3277	1.43	0.2701	-2.86	3.87	false	Double frontline Tank > comp Slayer
1.43	51.31	49.88	1869	1.24	0.3341	0.53	3.22	true	Invade early > jungler scale
1.78	51.79	50	1819	1.53	0.2473	0.16	2.9	true	Canalisation libre > sans interrupt
2.54	52.21	49.67	1584	2.02	0.1252	4.6	1.54	true	Assassin pick > carry protégé lent
2.83	52.71	49.88	850	1.65	0.2121	1.48	4.98	true	Reveal/vision > stealth comp
3.65	53.67	50.02	844	2.12	0.1103	-0.09	8.73	false	Tank absorbe le burst Mage
4.42	54.44	50.01	338	1.63	0.2121	4.24	4.57	true	Side pressure > ADC scale immobile
6.79	56	49.21	50	0.96	0.4692	0.42	17.51	true	Multi-dive > backline poke fragile
7.5	57.72	50.22	123	1.66	0.2121	10.3	4.37	true	Global + side lane > force 5v5
8.23	58.18	49.96	55	1.22	0.3341	9.85	6.76	true	Interrupt CC > canalisation
8.24	58.82	50.58	68	1.36	0.2894	14.78	5.3	true	Catch comp > carries immobiles
→ 26/39 règles au signe inversé (edge < 0)

############ TEAM_TRAIT_RULES (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-3.26	47.06	50.32	85	-0.6	0.9638	-14.22	1.29	false	Double enchanter > comp dive
-1.76	48.78	50.54	41	-0.23	0.9638	11.38	-4.66	null	Zone control équipe > dive
-1.61	48.22	49.83	365	-0.62	0.9638	-4.16	-0.69	true	Double peel > dive
-1.01	48.99	50	2764	-1.06	0.9638	-1.62	-0.8	true	Anti-dash + front équipe > dive
-0.17	50	50.17	178	-0.05	0.9638	-0.61	0.62	false	Disengage casse le wombo comp
0.2	50.15	49.95	333	0.07	0.9638	-5.47	4.65	false	Spell-shield > hook comp
0.95	51.3	50.35	308	0.33	0.9638	1.26	0.8	true	Double global > split sans réponse
1.77	51.92	50.16	3536	2.09	0.3271	2.76	0.93	true	Carry %PV > double frontline
5.51	56	50.49	50	0.78	0.9638	5.78	null	null	Double invade > comp scale
→ 5/9 règles au signe inversé (edge < 0)

############ CHAMP_PAIR_RULES même lane (n>=40) ############
edge%	obs%	att%	n	z	q(BH)	H1	H2	stable	règle
-10.6	39.67	50.26	121	-2.33	0.1982	-21.24	-2.67	true	(a, d) => norm(a.name) === norm("Galio") && (d.burst || 0) >= 0.55 && (d.ap ||
-8.08	41.86	49.94	86	-1.5	0.5447	-12.98	-4.48	true	(a, d) => hasMech(a, "peelTank") && hasMech(d, "diveAssassin")
-5.67	44.04	49.71	109	-1.18	0.5456	-5.4	-5.61	true	(a, d) => hasMech(a, "aoeMage") && hasMech(d, "enchanter")
-5.11	44.44	49.55	540	-2.38	0.1982	-12.91	-2.2	true	(a, d) => hasMech(a, "longRangeAdc") && hasMech(d, "shortRangeAdc")
-2.6	47.92	50.51	48	-0.36	0.7996	0.09	-6.07	false	(a, d) => subOf(a) === "Enchanter" && subOf(d) === "Assassin"
-2.34	47.88	50.23	969	-1.46	0.5447	-5.49	-0.12	true	(a, d) => (a.peel || 0) >= 0.55 && hasMech(d, "diveAssassin")
-1.93	48.11	50.04	185	-0.53	0.7495	2.45	-6.47	false	(a, d) => hasMech(a, "windwall") && (hasMech(d, "siegePoke") || d.tags?.has?.(
-1.51	48.47	49.98	1993	-1.35	0.5447	-0.52	-2.08	true	(a, d) => hasMech(a, "antiDash") && (d.tags?.has?.("dive") || hasMech(d, "dive
-1.15	49.03	50.18	1917	-1.01	0.5769	0.16	-1.56	false	(a, d) => hasMech(a, "zoneControl") && (d.tags?.has?.("dive") || hasMech(d, "d
-1.13	48.9	50.03	5370	-1.66	0.5447	-2.05	-0.07	true	(a, d) => (a.tags?.has?.("poke") || hasMech(a, "siegePoke")) && (d.tags?.has?.
-1.09	48.96	50.06	1734	-0.92	0.5993	-1.53	-0.78	true	(a, d) => norm(a.name) === norm("Trundle") && (d.tank || 0) >= 0.5
-0.99	48.95	49.94	2866	-1.06	0.5769	-1.84	0.38	false	(a, d) => hasMech(a, "disengage") && hasMech(d, "hardEngage")
-0.61	49.21	49.81	2776	-0.63	0.7175	3.58	-2.14	false	(a, d) => ["Juggernaut", "Diver"].includes(subOf(a)) && ["Vanguard", "Warden"]
-0.48	49.54	50.02	541	-0.22	0.8821	-1.55	0.55	false	(a, d) => hasMech(a, "spellShield") && (d.engage || 0) >= 0.5 && (d.spellSetup
-0.12	49.69	49.8	960	-0.07	0.9783	-1.2	1.69	false	(a, d) => subOf(a) === "Assassin" && ["Artillery", "Burst"].includes(subOf(d))
